DeltaT,ExpTime,Filter,magnitude,flux,Frequency,Flux Density (JY),AB Error,Flux Error,Flux Density Error,flux_density,Time Error,Colour
3.27E-03,0,X-Ray,0,0.00E+00,2.40E+17,1.15E-16,0,0,1.78E-02,1.54E-02,0.00E+00,N/A
4.09E-03,0,X-Ray,0,0.00E+00,2.40E+17,1.92E-17,0,0,2.89E-03,2.57E-03,0.00E+00,N/A
0.05,6x300,r,22.58,3.37E-29,4.86E+14,3.37E-06,0.09,0.001731023,5.37E-04,0.003372873,0.00E+00,cyan
0.064,0,X-Ray,0,0.00E+00,2.40E+17,4.21E-19,0,0,6.66E-05,5.63E-05,0.00E+00,N/A
0.07,6x300,r,22.52,3.56E-29,4.86E+14,3.56E-06,0.06,0.00115709,8.48E-04,0.003564511,0.00E+00,cyan
0.08,3x90,r,22.53,3.53E-29,4.86E+14,3.53E-06,0.03,0.000578288,1.68E-03,0.003531832,0.00E+00,cyan
0.08,3x90,i,22.37,4.09E-29,3.83E+14,4.09E-06,0.03,0.000582424,1.94E-03,0.004092607,0.00E+00,green
0.08,3x60,z,22.39,4.02E-29,3.46E+14,4.02E-06,0.02,0.000387936,2.85E-03,0.004017908,0.00E+00,yellow
0.14,0,X-Ray,0,0.00E+00,2.40E+17,3.24E-19,0,0,5.05E-05,4.33E-05,0.00E+00,N/A
0.3,0,X-Ray,0,0.00E+00,2.40E+17,2.29E-19,0,0,3.97E-05,3.06E-05,0.00E+00,N/A
0.338,0,X-Ray,0,0.00E+00,2.40E+17,2.00E-19,0,0,3.38E-05,2.68E-05,0.00E+00,N/A
0.42,0,X-Ray,0,0.00E+00,2.40E+17,9.33E-20,0,0,1.61E-05,1.25E-05,0.00E+00,N/A
0.95,14x300,g,24.02,8.95E-30,6.32E+14,8.95E-07,0.16,0.002892886,8.52E-05,0.000895365,0.00E+00,purple
0.96,33x20,H,23.83,1.07E-29,1.88E+14,1.07E-06,0.35,0.006378643,4.61E-05,0.001066596,0.00E+00,red
1.02,0,X-Ray,0,0.00E+00,2.40E+17,2.46E-20,0,0,4.71E-06,3.30E-06,0.00E+00,N/A
1.06,6x240,r,23.82,1.08E-29,4.86E+14,1.08E-06,0.07,0.001276264,2.32E-04,0.001076465,0.00E+00,cyan
1.08,6x240,z,23.6,1.32E-29,3.46E+14,1.32E-06,0.15,0.002760346,1.32E-04,0.001318257,0.00E+00,yellow
1.95,9x300,r,24.81,4.33E-30,4.86E+14,4.33E-07,0.07,0.001225337,9.72E-05,0.000432514,0.00E+00,cyan
1.99,9x300,z,23.9,1.00E-29,3.46E+14,0.000001,0.23,0.004179403,6.59E-05,0.000001,0.00E+00,yellow
2.02,7x120,g,25.56,2.17E-30,6.32E+14,2.17E-07,0.16,0.002718588,2.20E-05,0.00021677,0.00E+00,purple
2.03,5x120,r,24.8,4.37E-30,4.86E+14,4.37E-07,0.06,0.001050712,1.14E-04,0.000436516,0.00E+00,cyan
2.04,5x90,i,24.44,6.08E-30,3.83E+14,6.08E-07,0.1,0.001776982,9.43E-05,0.000608135,0.00E+00,greeen
2.04,7x60,z,24.34,6.67E-30,3.46E+14,6.67E-07,0.24,0.004282279,4.29E-05,0.000666807,0.00E+00,yellow
3.64,4x621,F606W,25.9,1.58E-30,4.95E+14,1.58E-07,0.06,0.001006088,4.34E-05,0.000158489,0.00E+00,orange
3.71,2397,F160W,24.43,6.14E-30,1.88E+14,6.14E-07,0.03,0.000533313,3.17E-04,0.000613762,0.00E+00,violet
3.76,2397,F110W,24.69,4.83E-30,2.73E+14,4.83E-07,0.02,0.000351798,3.78E-04,0.000483059,0.00E+00,blue
3.91,0,X-Ray,0,0.00E+00,2.40E+17,1.70E-20,0,0,1.82E-06,1.62E-06,0.00E+00,N/A
3.98,10x120,g,25.98,1.47E-30,6.32E+14,1.47E-07,0.15,0.002507474,1.62E-05,0.000147231,0.00E+00,purple
4,3x90,i,25.7,1.91E-30,3.83E+14,1.91E-07,0.38,0.006421475,8.17E-06,0.000190546,0.00E+00,green
4.3,45x30.8,K,24.04,8.79E-30,1.36E+14,8.79E-07,0.44,0.007948817,3.05E-05,0.000879023,0.00E+00,magenta
4.99,27x120,r,26.12,1.29E-30,4.86E+14,1.29E-07,0.25,0.004156724,8.58E-06,0.00012942,0.00E+00,cyan
6.98,21x120,g,26.9,6.31E-31,6.32E+14,6.31E-08,0.18,0.00290606,5.98E-06,6.31E-05,0.00E+00,purple
9.95,0,X-Ray,0,0.00E+00,2.40E+17,5.07E-21,0,0,6.76E-07,4.84E-07,0.00E+00,N/A
10.4,4x621,F606W,27.55,3.47E-31,4.95E+14,3.47E-08,0.11,0.001734025,5.51E-06,3.47E-05,0.00E+00,orange
10.46,2397,F160W,26.55,8.71E-31,1.88E+14,8.71E-08,0.23,0.00376225,6.38E-06,8.71E-05,0.00E+00,violet
10.53,2397,F110W,26.69,7.66E-31,2.73E+14,7.66E-08,0.15,0.002440771,8.64E-06,7.66E-05,0.00E+00,blue
17.09,0,Radio,0,0.00E+00,9.80E+09,0.000033,0,0,8.64E-06,0.033,0.00E+00,N/A
